Cage,Cage_True,Time_Caging,Week,Treatment,Channel,Species,Common_Name,Vol_disp,Vol_empty_beaker,Vol_animal,Vol_water,WetWeight_g,WetWeight_kg,WW_MR_ml.h.g,MO2_ml.h,rsqrt,Run_#,Chamer size,Start,End,Run_Date,DeltaT_start,DeltaT_end,Notes,N_Dusky,Quality
7,7,End,Week 7,Unfed,6,Strongylocentrotus purpuratus,Purple sea urchin,610,500,110,520,144.52,0.14452,0.00404789,0.5850011,0.78,51,630ml,13:30,14:15,13/05/2021,401,440,,,Bad
7,7,End,Week 7,Unfed,3,Strongylocentrotus purpuratus,Purple sea urchin,550,500,50,580,77.64,0.07764,0.009280919,0.7205706,0.79,51,630ml,13:30,14:15,13/05/2021,401,440,,,Bad
1,1,End,Week 7,Saccharina,2,Mesocentrotus franciscanus,Red sea urchin,320,300,20,220,14.69,0.01469,0.0183149,0.3133679,0.8,44,240ml,8:10,8:40,13/05/2021,79,108,,,Bad
1,1,Start,Week 2,Saccharina,8,Strongylocentrotus purpuratus,Purple sea urchin,570,500,70,560,88.67,0.08867,0.01039823,0.922011,0.99,1,630ml,7:18,7:50,08/04/2021,0,33,,,
1,1,Start,Week 2,Saccharina,6,Strongylocentrotus purpuratus,Purple sea urchin,540,500,40,590,52.63,0.05263,0.009909655,0.5215452,1,1,630ml,7:18,7:50,08/04/2021,0,33,,,
6,6,Start,Week 2,Macrocystis,7,Pomaulax gibberosus,Red turban snail,305,300,5,235,14.4,0.0144,0.1701695,1.842662,0.99,41,240ml,17:08,17:45,10/04/2021,24975,25400,very steep drop,,
1,1,Start,Week 2,Saccharina,2,Strongylocentrotus purpuratus,Purple sea urchin,560,500,60,570,62.1,0.0621,0.0128973,0.8009222,1,1,630ml,7:18,7:50,08/04/2021,0,33,,,
3,3,End,Week 7,Saccharina,1,Mesocentrotus franciscanus,Red sea urchin,315,300,15,225,26.08,0.02608,0.0117409,0.3891394,0.83,71,240ml,7:56,8:20,15/05/2021,1847,3286,,,
1,1,Start,Week 2,Saccharina,3,Strongylocentrotus purpuratus,Purple sea urchin,565,500,65,565,79.64,0.07964,0.01119811,0.8918175,1,1,630ml,7:18,7:50,08/04/2021,0,33,,,
3,3,Start,Week 2,Saccharina,9,Strongylocentrotus purpuratus,Purple sea urchin,555,500,55,575,69.72,0.06972,0.01983124,1.382634,0.83,29,630ml,7:35,8:40,10/04/2021,808,3177,,,
8,8,End,Week 7,Unfed,3,Strongylocentrotus purpuratus,Purple sea urchin,515,500,15,225,34.4,0.0344,0.008613311,0.2966609,0.85,68,240ml,16:20,17:05,14/05/2021,27770,29772,,,Bad
9,9,Start,Week 2,Unfed,3,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,10.46,0.01046,0.02967599,0.3104109,0.85,35,240ml,12:33,13:35,10/04/2021,12574,16314,,,Bad
6,6,Start,Week 2,Macrocystis,2,Pomaulax gibberosus,Red turban snail,510,500,10,230,27.22,0.02722,0.05871454,1.59821,0.99,40,240ml,16:35,17:00,10/04/2021,25906,27428,,,
1,1,Start,Week 2,Saccharina,1,Strongylocentrotus purpuratus,Purple sea urchin,560,500,60,570,72.25,0.07225,0.0144021,1.040552,1,1,630ml,7:18,7:50,08/04/2021,0,33,,,
1,1,Start,Week 2,Saccharina,7,Strongylocentrotus purpuratus,Purple sea urchin,590,500,90,540,98.67,0.09867,0.01188549,1.172741,1,1,630ml,7:18,7:50,08/04/2021,0,33,,,
2,2,End,Week 7,Saccharina,9,Pomaulax gibberosus,Red turban snail,310,300,10,230,13.27,0.01327,0.01258122,0.166986,0.87,58,240ml,8:20,9:00,14/05/2021,1465,3873,,,Bad
1,1,Start,Week 2,Saccharina,9,Strongylocentrotus purpuratus,Purple sea urchin,590,500,90,540,110.71,0.11071,0.01124193,1.187575,1,1,630ml,7:18,7:50,08/04/2021,10,33,,,
3,3,Start,Week 2,Saccharina,2,Mesocentrotus franciscanus,Red sea urchin,515,500,15,225,21.92,0.02192,0.01290346,0.2828438,0.87,29,240ml,7:35,8:40,10/04/2021,808,3177,,,
8,8,Start,Week 2,Unfed,9,Strongylocentrotus purpuratus,Purple sea urchin,520,500,20,610,53.48,0.05348,0.002711649,0.147802,0.88,26,630ml,17:20,18:00,09/04/2021,594,635,Used D1Channel10 for background resp (broken sensor),,
1,1,Start,Week 2,Saccharina,5,Strongylocentrotus purpuratus,Purple sea urchin,560,500,60,570,73.34,0.07334,0.01865526,1.368177,1,1,630ml,7:18,7:50,08/04/2021,5,33,,,
5,5,Start,Week 2,Macrocystis,3,Pomaulax gibberosus,Red turban snail,340,300,40,200,63.48,0.06348,0.01735397,1.106111,0.91,22,240ml,13:30,14:10,09/04/2021,361,404,Used D1Channel10 for background resp (broken sensor),,Bad
5,5,Start,Week 2,Macrocystis,2,Strongylocentrotus purpuratus,Purple sea urchin,600,500,100,530,133.09,0.13309,0.01321315,1.758538,0.89,19,630ml,11:35,12:00,09/04/2021,248,275,,,Bad
1,1,Start,Week 2,Saccharina,6,Mesocentrotus franciscanus,Red sea urchin,520,500,20,610,41.25,0.04125,0.01368115,0.5643475,0.99,2,630ml,8:00,8:45,08/04/2021,46,89,,,
2,2,End,Week 7,Saccharina,5,Pomaulax gibberosus,Red turban snail,310,300,10,230,19.34,0.01934,0.01717191,0.332014,0.91,56,240ml,7:50,8:15,14/05/2021,3157,4615,,,Bad
1,1,Start,Week 2,Saccharina,3,Strongylocentrotus purpuratus,Purple sea urchin,530,500,30,600,53.36,0.05336,0.01453915,0.7758089,0.99,2,630ml,8:00,8:45,08/04/2021,46,89,,,
1,1,Start,Week 2,Saccharina,5,Mesocentrotus franciscanus,Red sea urchin,503,500,3,237,8.76,0.00876,0.01460679,0.1279555,1,2,240ml,8:00,8:45,08/04/2021,46,89,,,
1,1,Start,Week 2,Saccharina,4,Mesocentrotus franciscanus,Red sea urchin,505,500,5,235,15,0.015,0.01528697,0.2293045,1,2,240ml,8:00,8:45,08/04/2021,46,89,,,
5,5,Start,Week 2,Macrocystis,8,Pomaulax gibberosus,Red turban snail,360,300,60,180,83.75,0.08375,0.0103837,0.8696351,1,21,240ml,12:45,13:15,09/04/2021,320,348,Used D1Channel10 for background resp (broken sensor),,
8,8,Start,Week 2,Unfed,3,Strongylocentrotus purpuratus,Purple sea urchin,610,500,110,520,142.87,0.14287,0.008797805,1.238666,0.92,26,630ml,17:20,18:00,09/04/2021,594,635,Used D1Channel10 for background resp (broken sensor),,Bad
3,3,End,Week 7,Saccharina,7,Pomaulax gibberosus,Red turban snail,515,500,15,225,38.19,0.03819,0.01119714,0.2681586,0.93,70,240ml,7:25,7:50,15/05/2021,900,1645,,,
1,1,Start,Week 2,Saccharina,9,Mesocentrotus franciscanus,Red sea urchin,510,500,10,620,21.07,0.02107,0.01509616,0.3180761,1,2,630ml,8:00,8:45,08/04/2021,46,89,,,
1,1,Start,Week 2,Saccharina,2,Strongylocentrotus purpuratus,Purple sea urchin,510,500,10,620,39.84,0.03984,0.01369665,0.5456747,1,2,630ml,8:00,8:45,08/04/2021,46,89,,,
5,5,Start,Week 2,Macrocystis,7,Pomaulax gibberosus,Red turban snail,350,300,50,190,87.73,0.08773,0.00955694,0.8384304,0.98,21,240ml,12:45,13:15,09/04/2021,320,330,Used D1Channel10 for background resp (broken sensor),,
1,1,Start,Week 2,Saccharina,7,Mesocentrotus franciscanus,Red sea urchin,550,500,50,580,74.57,0.07457,0.008037763,0.599376,1,2,630ml,8:00,8:45,08/04/2021,46,89,,,
1,1,Start,Week 2,Saccharina,8,Mesocentrotus franciscanus,Red sea urchin,540,500,40,590,62.63,0.06263,0.01183531,0.7412452,1,2,630ml,8:00,8:45,08/04/2021,46,89,,,
1,1,Start,Week 2,Saccharina,1,Strongylocentrotus purpuratus,Purple sea urchin,550,500,50,580,74.03,0.07403,0.01347823,0.9977935,1,2,630ml,8:00,8:45,08/04/2021,46,89,,,
6,6,Start,Week 2,Macrocystis,1,Tegula pulligo,Dusky turban snail,35,30,5,235,9.21,0.00921,0.01920521,0.17688,0.95,38,240ml,15:50,16:30,10/04/2021,22454,24655,,3,
1,1,Start,Week 2,Saccharina,7,Pomaulax gibberosus,Red turban snail,440,400,40,200,68.97,0.06897,0.00739209,0.5496073,0.99,3,240ml,9:00,9:30,08/04/2021,102,132,,,
9,9,End,Week 7,Unfed,3,Strongylocentrotus purpuratus,Purple sea urchin,550,500,50,580,62.07,0.06207,0.006337589,0.3933741,0.95,78,630ml,15:40,16:40,15/05/2021,24992,26424,"stir bar stuck, restarted at 16:07",,
1,1,Start,Week 2,Saccharina,8,Pomaulax gibberosus,Red turban snail,430,400,30,210,49.1,0.0491,0.009541785,0.4685016,0.99,3,240ml,9:00,9:30,08/04/2021,102,132,,,
6,6,Start,Week 2,Macrocystis,8,Strongylocentrotus purpuratus,Purple sea urchin,560,500,60,570,91.84,0.09184,0.01228519,1.128272,0.95,37,630ml,15:25,15:45,10/04/2021,19563,20665,,,
6,6,Start,Week 2,Macrocystis,8,Pomaulax gibberosus,Red turban snail,550,500,50,190,73.92,0.07392,0.009829389,0.7265884,0.98,40,240ml,16:35,17:00,10/04/2021,20666,22188,,,
1,1,Start,Week 2,Saccharina,4,Mesocentrotus franciscanus,Red sea urchin,410,400,10,230,15.21,0.01521,0.01888566,0.2872509,0.99,3,240ml,9:00,9:30,08/04/2021,102,132,,,
1,1,Start,Week 2,Saccharina,6,Mesocentrotus franciscanus,Red sea urchin,410,400,10,230,15.64,0.01564,0.01972304,0.3084683,0.99,3,240ml,9:00,9:30,08/04/2021,102,132,,,
3,3,Start,Week 2,Saccharina,1,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,9.77,0.00977,0.0280993,0.2745302,0.96,30,240ml,8:50,9:50,10/04/2021,3578,4298,,,
1,1,Start,Week 2,Saccharina,3,Mesocentrotus franciscanus,Red sea urchin,410,400,10,230,15.9,0.0159,0.02171276,0.3195788,0.99,3,240ml,9:00,9:30,08/04/2021,102,132,,,
7,7,End,Week 7,Unfed,9,Pomaulax gibberosus,Red turban snail,510,500,10,230,17.9,0.0179,0.02101893,0.3762388,0.96,53,240ml,15:35,16:12,13/05/2021,522,557,,,
3,3,Start,Week 2,Saccharina,8,Strongylocentrotus purpuratus,Purple sea urchin,620,500,120,510,152.25,0.15225,0.011883,1.482416,0.96,28,630ml,7:10,7:30,10/04/2021,0,350,added new time stamp,,
1,1,Start,Week 2,Saccharina,9,Pomaulax gibberosus,Red turban snail,405,400,5,235,12.26,0.01226,0.01759485,0.2157128,1,3,240ml,9:00,9:30,08/04/2021,102,132,,,
8,8,Start,Week 2,Unfed,4,Mesocentrotus franciscanus,Red sea urchin,305,300,5,235,11.09,0.01109,0.007746915,0.08591329,0.97,25,240ml,16:20,17:10,09/04/2021,534,585,Used D1Channel10 for background resp (broken sensor),,
1,1,Start,Week 2,Saccharina,2,Mesocentrotus franciscanus,Red sea urchin,405,400,5,235,10.37,0.01037,0.02023736,0.2098615,1,3,240ml,9:00,9:30,08/04/2021,102,132,,,
7,7,Start,Week 2,Unfed,1,Tegula pulligo,Dusky turban snail,35,30,5,235,6.36,0.00636,0.01347917,0.09377345,0.97,14,240ml,8:10,9:05,09/04/2021,50,102,Used D1Channel10 for background resp (broken sensor),3,
8,8,Start,Week 2,Unfed,10,Mesocentrotus franciscanus,Red sea urchin,305,300,5,235,9.31,0.00931,0.01503296,0.1399568,0.97,25,240ml,16:20,17:10,09/04/2021,534,585,Used D1Channel10 for background resp (broken sensor),,
5,5,Start,Week 2,Macrocystis,2,Pomaulax gibberosus,Red turban snail,315,300,15,225,19.23,0.01923,0.03258234,0.6265584,0.99,22,240ml,13:30,14:10,09/04/2021,361,370,Used D1Channel10 for background resp (broken sensor),,
1,1,Start,Week 2,Saccharina,5,Mesocentrotus franciscanus,Red sea urchin,410,400,10,230,15.22,0.01522,0.01383313,0.2105403,1,3,240ml,9:00,9:30,08/04/2021,102,132,,,
1,1,Start,Week 2,Saccharina,1,Mesocentrotus franciscanus,Red sea urchin,405,400,5,235,10.43,0.01043,0.02451243,0.2556646,1,3,240ml,9:00,9:30,08/04/2021,102,132,,,
2,2,End,Week 7,Saccharina,9,Strongylocentrotus purpuratus,Purple sea urchin,570,500,70,560,93.41,0.09341,0.004194195,0.2648225,0.97,57,630ml,9:40,10:15,14/05/2021,4898,7091,,,
4,4,Start,Week 2,Macrocystis,5,Strongylocentrotus purpuratus,Purple sea urchin,500,400,100,530,163.06,0.16306,0.02513728,4.098885,0.86,4,630ml,9:38,10:00,08/04/2021,141,162,,,Bad
2,2,Start,Week 2,Saccharina,8,Strongylocentrotus purpuratus,Purple sea urchin,530,500,30,600,52.15,0.05215,0.008628118,0.4499564,0.97,15,630ml,7:13,8:05,09/04/2021,15,39,Software crash; restarted at 7:43,,
3,3,End,Week 7,Saccharina,4,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,20.8,0.0208,0.02939557,0.6113195,0.97,71,240ml,7:56,8:20,15/05/2021,1847,2885,,,
3,3,End,Week 7,Saccharina,8,Pomaulax gibberosus,Red turban snail,310,300,10,230,26.49,0.02649,0.03295331,0.9037133,0.97,71,240ml,7:56,8:20,15/05/2021,1846,2785,,,
4,4,Start,Week 2,Macrocystis,3,Strongylocentrotus purpuratus,Purple sea urchin,455,400,55,575,89.61,0.08961,0.007952263,0.7126023,0.91,4,630ml,9:38,10:00,08/04/2021,141,162,,,
5,5,Start,Week 2,Macrocystis,4,Strongylocentrotus purpuratus,Purple sea urchin,550,500,50,580,70.52,0.07052,0.01563355,1.102478,0.97,19,630ml,11:35,12:00,09/04/2021,266,275,Oxygen sensor not in chamber; placed inside at 11:50,,
4,4,Start,Week 2,Macrocystis,1,Strongylocentrotus purpuratus,Purple sea urchin,460,400,60,570,93.36,0.09336,0.01454885,1.35828,0.99,4,630ml,9:38,10:00,08/04/2021,141,162,,,
8,8,Start,Week 2,Unfed,7,Mesocentrotus franciscanus,Red sea urchin,515,500,15,225,19.46,0.01946,0.002938692,0.05718695,0.98,27,240ml,18:10,19:00,09/04/2021,643,702,Used D1Channel10 for background resp (broken sensor),,
6,6,End,Week 7,Macrocystis,9,Pomaulax gibberosus,Red turban snail,310,300,10,230,6.15,0.00615,0.009572047,0.05886809,0.98,77,240ml,11:41,13:15,15/05/2021,9053,12692,left this channel running until 1pm (1-8 finished at 12:20) because Ch9 was only down 2%,,
8,8,End,Week 7,Unfed,1,Mesocentrotus franciscanus,Red sea urchin,305,300,5,235,7.48,0.00748,0.008949214,0.06693729,0.98,66,240ml,15:07,16:10,14/05/2021,23898,27769,,,
6,6,Start,Week 2,Macrocystis,4,Pomaulax gibberosus,Red turban snail,510,500,10,230,21.51,0.02151,0.02841221,0.6111465,0.74,40,240ml,16:35,17:00,10/04/2021,24660,26182,,,Bad
4,4,End,Week 7,Macrocystis,9,Pomaulax gibberosus,Red turban snail,305,300,5,235,7.59,0.00759,0.01150225,0.08730206,0.98,49,?,10:35,11:07,13/05/2021,222,254,,,
8,8,End,Week 7,Unfed,7,Pomaulax gibberosus,Red turban snail,310,300,10,230,10.04,0.01004,0.009761605,0.08841538,0.98,65,240ml,14:05,15:00,14/05/2021,20595,23897,,,
8,8,End,Week 7,Unfed,2,Mesocentrotus franciscanus,Red sea urchin,305,300,5,235,8.91,0.00891,0.01086102,0.09607239,0.98,66,240ml,15:07,16:10,14/05/2021,23999,27769,,,
9,9,End,Week 7,Unfed,1,Pomaulax gibberosus,Red turban snail,310,300,10,230,14.61,0.01461,0.008320264,0.1096829,0.98,80,240ml,14:05,14:50,15/05/2021,18661,21349,,,
8,8,End,Week 7,Unfed,5,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,11.74,0.01174,0.01025974,0.1204494,0.98,66,240ml,15:07,16:10,14/05/2021,23898,27769,,,
9,9,Start,Week 2,Unfed,4,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,11.15,0.01115,0.01127006,0.1256611,0.98,35,240ml,12:33,13:35,10/04/2021,12574,16314,,,
2,2,Start,Week 2,Saccharina,5,Tegula pulligo,Dusky turban snail,37,30,7,233,9.01,0.00901,0.01479063,0.1307569,0.98,14,240ml,8:10,9:05,09/04/2021,50,102,Used D1Channel10 for background resp (broken sensor),3,
9,9,End,Week 7,Unfed,3,Pomaulax gibberosus,Red turban snail,307,300,7,233,11.38,0.01138,0.01149927,0.1308277,0.98,80,240ml,14:05,14:50,15/05/2021,18660,21348,,,
7,7,End,Week 7,Unfed,9,Pomaulax gibberosus,Red turban snail,310,300,10,230,12.53,0.01253,0.0112121,0.1404876,0.98,54,?,16:17,17:20,13/05/2021,581,627,,,
6,6,End,Week 7,Macrocystis,5,Tegula pulligo,Dusky turban snail,33,30,3,237,8.64,0.00864,0.01670318,0.1442949,0.98,73,240ml,8:30,9:05,15/05/2021,3486,5552,,2,
6,6,Start,Week 2,Macrocystis,2,Tegula pulligo,Dusky turban snail,35,30,5,235,8.72,0.00872,0.01730933,0.1509374,0.98,38,240ml,15:50,16:30,10/04/2021,23804,25005,,3,
7,7,End,Week 7,Unfed,1,Tegula pulligo,Dusky turban snail,31.5,30,1.5,238.5,5.74,0.00574,0.02698642,0.1549021,0.98,55,240ml,6:45,7:35,14/05/2021,500,2500,,3,
8,8,End,Week 7,Unfed,8,Pomaulax gibberosus,Red turban snail,310,300,10,230,13.14,0.01314,0.01302051,0.1587425,0.98,65,240ml,14:05,15:00,14/05/2021,20450,23752,,,
2,2,Start,Week 2,Saccharina,6,Tegula pulligo,Dusky turban snail,38,30,8,232,9.49,0.00949,0.01605901,0.1607452,0.98,14,240ml,8:10,9:05,09/04/2021,60,102,Used D1Channel10 for background resp (broken sensor),3,
9,9,Start,Week 2,Unfed,10,Tegula pulligo,Dusky turban snail,32,30,2,238,5.82,0.00582,0.02822105,0.1642465,0.98,32,240ml,10:35,11:30,10/04/2021,8696,11825,Channel 7 is blank,3,
8,8,Start,Week 2,Unfed,8,Mesocentrotus franciscanus,Red sea urchin,510,500,10,230,10.09,0.01009,0.0164455,0.1659351,0.98,27,240ml,18:10,19:00,09/04/2021,655,690,Used D1Channel10 for background resp (broken sensor),,
4,4,End,Week 7,Macrocystis,8,Pomaulax gibberosus,Red turban snail,305,300,5,235,9.92,0.00992,0.01745539,0.1731574,0.98,49,?,10:35,11:07,13/05/2021,222,254,,,
8,8,Start,Week 2,Unfed,4,Mesocentrotus franciscanus,Red sea urchin,510,500,10,230,21.16,0.02116,0.008197885,0.1734672,0.98,27,240ml,18:10,19:00,09/04/2021,650,702,Used D1Channel10 for background resp (broken sensor),,
4,4,Start,Week 2,Macrocystis,4,Strongylocentrotus purpuratus,Purple sea urchin,420,400,20,610,41.26,0.04126,0.01657119,0.6934838,1,4,630ml,9:38,10:00,08/04/2021,141,162,,,
4,4,Start,Week 2,Macrocystis,6,Strongylocentrotus purpuratus,Purple sea urchin,440,400,40,590,61.17,0.06117,0.01519903,0.9297248,1,4,630ml,9:38,10:00,08/04/2021,141,162,,,
4,4,Start,Week 2,Macrocystis,8,Strongylocentrotus purpuratus,Purple sea urchin,445,400,45,585,77.16,0.07716,0.0121017,0.9337675,1,4,630ml,9:38,10:00,08/04/2021,141,162,,,
6,6,End,Week 7,Macrocystis,7,Pomaulax gibberosus,Red turban snail,310,300,10,230,13,0.013,0.01443263,0.1876681,0.98,77,240ml,11:41,12:15,15/05/2021,9053,11075,,,
8,8,End,Week 7,Unfed,6,Pomaulax gibberosus,Red turban snail,310,300,10,230,16.37,0.01637,0.01180438,0.1932896,0.98,65,240ml,14:05,15:00,14/05/2021,20595,23897,,,
3,3,Start,Week 2,Saccharina,7,Pomaulax gibberosus,Red turban snail,365,300,65,175,106.06,0.10606,0.004985902,0.528975,0.99,31,240ml,9:55,10:25,10/04/2021,5303,6515,,,
8,8,End,Week 7,Unfed,8,Pomaulax gibberosus,Red turban snail,310,300,10,230,16.75,0.01675,0.01220153,0.2043795,0.98,66,240ml,15:07,16:10,14/05/2021,23753,27624,,,
6,6,Start,Week 2,Macrocystis,7,Pomaulax gibberosus,Red turban snail,520,500,20,220,40.77,0.04077,0.01276144,0.5202841,0.98,40,240ml,16:35,17:00,10/04/2021,22452,23974,,,
9,9,Start,Week 2,Unfed,10,Mesocentrotus franciscanus,Red sea urchin,315,300,15,225,15.22,0.01522,0.01366377,0.2079626,0.98,35,240ml,12:33,13:35,10/04/2021,14147,17887,,,
5,5,End,Week 7,Macrocystis,2,Tegula pulligo,Dusky turban snail,34,30,4,236,9.25,0.00925,0.02262,0.2092721,0.98,64,240ml,12:52,13:55,14/05/2021,16960,18100,,3,
9,9Extra,End,Week 7,Unfed,3,Strongylocentrotus purpuratus,Purple sea urchin,560,500,60,180,75.25,0.07525,0.00295051,0.2097637,0.98,81,630ml,15:00,15:35,15/05/2021,21349,23291,,,
5,5,End,Week 7,Macrocystis,7,Pomaulax gibberosus,Red turban snail,310,300,10,230,14.04,0.01404,0.01515791,0.212863,0.98,62,240ml,11:30,12:15,14/05/2021,12793,15597,,,
2,2,End,Week 7,Saccharina,8,Pomaulax gibberosus,Red turban snail,310,300,10,230,13.75,0.01375,0.01618106,0.2140702,0.98,58,240ml,8:20,9:00,14/05/2021,4471,6879,,,
4,4,Start,Week 2,Macrocystis,2,Strongylocentrotus purpuratus,Purple sea urchin,450,400,50,580,69.71,0.06971,0.01651005,1.150916,1,4,630ml,9:38,10:00,08/04/2021,141,162,,,
4,4,Start,Week 2,Macrocystis,7,Strongylocentrotus purpuratus,Purple sea urchin,495,400,95,535,119.99,0.11999,0.01116776,1.340019,1,4,630ml,9:38,10:00,08/04/2021,141,162,,,
5,5,Start,Week 2,Macrocystis,4,Mesocentrotus franciscanus,Red sea urchin,315,300,15,225,16.44,0.01644,0.01399481,0.2300746,0.98,21,240ml,12:45,13:15,09/04/2021,320,348,Used D1Channel10 for background resp (broken sensor),,
7,7,End,Week 7,Unfed,7,Pomaulax gibberosus,Red turban snail,510,500,10,230,17.15,0.01715,0.01365325,0.2341533,0.98,53,240ml,15:35,16:12,13/05/2021,525,557,,,
4,4,Start,Week 2,Macrocystis,9,Strongylocentrotus purpuratus,Purple sea urchin,465,400,65,565,107.21,0.10721,0.01322525,1.417879,1,4,630ml,9:38,10:00,08/04/2021,141,162,,,
9,9,End,Week 7,Unfed,8,Pomaulax gibberosus,Red turban snail,307,300,7,233,11.28,0.01128,0.02253467,0.2434339,0.98,79,240ml,13:20,14:00,15/05/2021,11475,13781,,,
6,6,Start,Week 2,Macrocystis,9,Pomaulax gibberosus,Red turban snail,520,500,20,220,44.31,0.04431,0.009544376,0.4229113,0.99,40,240ml,16:35,17:00,10/04/2021,19868,21390,,,
9,9,End,Week 7,Unfed,5,Pomaulax gibberosus,Red turban snail,315,300,15,225,23.13,0.02313,0.01185085,0.2804829,0.98,79,240ml,13:20,14:00,15/05/2021,13715,16021,,,
3,3,Start,Week 2,Saccharina,10,Mesocentrotus franciscanus,Red sea urchin,315,300,15,225,14.72,0.01472,0.02011171,0.2960443,0.98,30,240ml,8:50,9:50,10/04/2021,4757,6381,,,
3,3,End,Week 7,Saccharina,3,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,21.44,0.02144,0.01388827,0.2976772,0.98,71,240ml,7:56,8:20,15/05/2021,1946,3285,,,
9,9Extra,End,Week 7,Unfed,4,Mesocentrotus franciscanus,Red sea urchin,320,300,20,220,20.23,0.02023,0.01792621,0.2988848,0.98,81,240ml,15:00,15:35,15/05/2021,19712,20654,,,
6,6,End,Week 7,Macrocystis,6,Mesocentrotus franciscanus,Red sea urchin,312,300,12,228,11.49,0.01149,0.02637148,0.3030403,0.98,77,240ml,11:41,12:15,15/05/2021,9052,11474,,,
5,5,Start,Week 2,Macrocystis,3,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,15.53,0.01553,0.02170997,0.3078068,0.98,21,240ml,12:45,13:15,09/04/2021,320,348,Used D1Channel10 for background resp (broken sensor),,
2,2,End,Week 7,Saccharina,7,Pomaulax gibberosus,Red turban snail,310,300,10,230,15.24,0.01524,0.02097084,0.3196628,0.98,58,240ml,8:20,9:00,14/05/2021,4616,5673,,,
8,8,End,Week 7,Unfed,5,Pomaulax gibberosus,Red turban snail,320,300,20,220,32.13,0.03213,0.01016172,0.3364048,0.98,65,240ml,14:05,15:00,14/05/2021,21595,22597,,,
3,3,End,Week 7,Saccharina,9,Pomaulax gibberosus,Red turban snail,312,300,12,228,29.39,0.02939,0.01262728,0.337324,0.98,71,240ml,7:56,8:20,15/05/2021,1847,3286,,,
5,5,Start,Week 2,Macrocystis,5,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,14.61,0.01461,0.02324381,0.3395921,0.98,21,240ml,12:45,13:15,09/04/2021,325,348,Used D1Channel10 for background resp (broken sensor),,
