Cage_Number,Common_Name,Species_Name,Treatment,LOE_time,LOE_min,LOE_sec
Cage 2,Red Turban snail,Pomaulax gibberosus,Saccharina,6:36,0:06:36,396
Cage 2,Red Turban snail,Pomaulax gibberosus,Saccharina,1:28,0:01:28,88
Cage 2,Red Turban snail,Pomaulax gibberosus,Saccharina,2:40,0:02:40,160
Cage 2,Red Turban snail,Pomaulax gibberosus,Saccharina,2:36,0:02:36,156
Cage 2,Red Turban snail,Pomaulax gibberosus,Saccharina,1:43,0:01:43,103
Cage 5,Red Turban snail,Pomaulax gibberosus,Macrocystis,1:08,0:01:08,68
Cage 5,Red Turban snail,Pomaulax gibberosus,Macrocystis,1:10,0:01:10,70
Cage 5,Red Turban snail,Pomaulax gibberosus,Macrocystis,3:31,0:03:31,211
Cage 5,Red Turban snail,Pomaulax gibberosus,Macrocystis,0:43,0:00:43,43
Cage 5,Red Turban snail,Pomaulax gibberosus,Macrocystis,2:31,0:02:31,151
Cage 5,Red Turban snail,Pomaulax gibberosus,Macrocystis,2:18,0:02:18,138
Cage 2,Dusky Turban snail,Tegula pulligo,Saccharina,2:00,0:02:00,120
Cage 2,Dusky Turban snail,Tegula pulligo,Saccharina,1:34,0:01:34,94
Cage 2,Dusky Turban snail,Tegula pulligo,Saccharina,0:54,0:00:54,54
Cage 2,Dusky Turban snail,Tegula pulligo,Saccharina,2:19,0:02:19,139
Cage 2,Dusky Turban snail,Tegula pulligo,Saccharina,0:58,0:00:58,58
Cage 2,Dusky Turban snail,Tegula pulligo,Saccharina,0:48,0:00:48,48
Cage 5,Dusky Turban snail,Tegula pulligo,Macrocystis,1:02,0:01:02,62
Cage 5,Dusky Turban snail,Tegula pulligo,Macrocystis,1:09,0:01:09,69
Cage 5,Dusky Turban snail,Tegula pulligo,Macrocystis,0:57,0:00:57,57
Cage 5,Dusky Turban snail,Tegula pulligo,Macrocystis,0:59,0:00:59,59
Cage 5,Dusky Turban snail,Tegula pulligo,Macrocystis,0:51,0:00:51,51
Cage 5,Dusky Turban snail,Tegula pulligo,Macrocystis,0:52,0:00:52,52
Cage 8,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,3:12,0:03:12,192
Cage 8,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,2:55,0:02:55,175
Cage 8,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,2:31,0:02:31,151
Cage 8,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,5:55,0:05:55,355
Cage 8,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,1:03,0:01:03,63
Cage 8,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,2:25,0:02:25,145
Cage 8,Red sea urchin,Mesocentrotus franciscanus,Unfed,1:30,0:01:30,90
Cage 8,Red sea urchin,Mesocentrotus franciscanus,Unfed,3:18,0:03:18,198
Cage 8,Red sea urchin,Mesocentrotus franciscanus,Unfed,2:48,0:02:48,168
Cage 8,Red sea urchin,Mesocentrotus franciscanus,Unfed,1:52,0:01:52,112
Cage 8,Red sea urchin,Mesocentrotus franciscanus,Unfed,2:17,0:02:17,137
Cage 8,Red sea urchin,Mesocentrotus franciscanus,Unfed,3:42,0:03:42,222
Cage 8,Red Turban snail,Pomaulax gibberosus,Unfed,0:54,0:00:54,54
Cage 8,Red Turban snail,Pomaulax gibberosus,Unfed,0:50,0:00:50,50
Cage 8,Red Turban snail,Pomaulax gibberosus,Unfed,1:32,0:01:32,92
Cage 8,Red Turban snail,Pomaulax gibberosus,Unfed,0:41,0:00:41,41
Cage 8,Red Turban snail,Pomaulax gibberosus,Unfed,2:50,0:02:50,170
Cage 8,Red Turban snail,Pomaulax gibberosus,Unfed,1:15,0:01:15,75
Cage 8,Dusky Turban snail,Tegula pulligo,Unfed,0:48,0:00:48,48
Cage 8,Dusky Turban snail,Tegula pulligo,Unfed,1:06,0:01:06,66
Cage 8,Dusky Turban snail,Tegula pulligo,Unfed,0:33,0:00:33,33
Cage 8,Dusky Turban snail,Tegula pulligo,Unfed,0:34,0:00:34,34
Cage 8,Dusky Turban snail,Tegula pulligo,Unfed,0:49,0:00:49,49
Cage 8,Dusky Turban snail,Tegula pulligo,Unfed,2:18,0:02:18,138
Cage 3,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,2:15,0:02:15,135
Cage 3,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,1:16,0:01:16,76
Cage 3,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,3:09,0:03:09,189
Cage 3,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,3:42,0:03:42,222
Cage 3,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,2:46,0:02:46,166
Cage 3,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,2:32,0:02:32,152
Cage 3,Red sea urchin,Mesocentrotus franciscanus,Saccharina,2:35,0:02:35,155
Cage 3,Red sea urchin,Mesocentrotus franciscanus,Saccharina,2:57,0:02:57,177
Cage 3,Red sea urchin,Mesocentrotus franciscanus,Saccharina,3:21,0:03:21,201
Cage 3,Red sea urchin,Mesocentrotus franciscanus,Saccharina,2:23,0:02:23,143
Cage 3,Red sea urchin,Mesocentrotus franciscanus,Saccharina,3:18,0:03:18,198
Cage 3,Red sea urchin,Mesocentrotus franciscanus,Saccharina,2:34,0:02:34,154
Cage 3,Red Turban snail,Pomaulax gibberosus,Saccharina,0:44,0:00:44,44
Cage 3,Red Turban snail,Pomaulax gibberosus,Saccharina,1:09,0:01:09,69
Cage 3,Red Turban snail,Pomaulax gibberosus,Saccharina,1:03,0:01:03,63
Cage 3,Red Turban snail,Pomaulax gibberosus,Saccharina,2:21,0:02:21,141
Cage 3,Red Turban snail,Pomaulax gibberosus,Saccharina,4:14,0:04:14,254
Cage 3,Red Turban snail,Pomaulax gibberosus,Saccharina,1:40,0:01:40,100
Cage 3,Dusky Turban snail,Tegula pulligo,Saccharina,2:50,0:02:50,170
Cage 3,Dusky Turban snail,Tegula pulligo,Saccharina,1:22,0:01:22,82
Cage 3,Dusky Turban snail,Tegula pulligo,Saccharina,0:42,0:00:42,42
Cage 3,Dusky Turban snail,Tegula pulligo,Saccharina,0:56,0:00:56,56
Cage 3,Dusky Turban snail,Tegula pulligo,Saccharina,0:50,0:00:50,50
Cage 3,Dusky Turban snail,Tegula pulligo,Saccharina,0:59,0:00:59,59
Cage 6,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,2:52,0:02:52,172
Cage 6,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,3:02,0:03:02,182
Cage 6,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,0:46,0:00:46,46
Cage 6,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,1:56,0:01:56,116
Cage 6,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,3:42,0:03:42,222
Cage 6,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,2:51,0:02:51,171
Cage 6,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,1:49,0:01:49,109
Cage 6,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,1:12,0:01:12,72
Cage 6,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,2:56,0:02:56,176
Cage 6,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,5:55,0:05:55,355
Cage 6,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,4:36,0:04:36,276
Cage 6,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,2:52,0:02:52,172
Cage 6,Red Turban snail,Pomaulax gibberosus,Macrocystis,1:27,0:01:27,87
Cage 6,Red Turban snail,Pomaulax gibberosus,Macrocystis,2:34,0:02:34,154
Cage 6,Red Turban snail,Pomaulax gibberosus,Macrocystis,1:10,0:01:10,70
Cage 6,Red Turban snail,Pomaulax gibberosus,Macrocystis,1:14,0:01:14,74
Cage 6,Red Turban snail,Pomaulax gibberosus,Macrocystis,0:45,0:00:45,45
Cage 6,Red Turban snail,Pomaulax gibberosus,Macrocystis,2:52,0:02:52,172
Cage 6,Dusky Turban snail,Tegula pulligo,Macrocystis,0:56,0:00:56,56
Cage 6,Dusky Turban snail,Tegula pulligo,Macrocystis,0:52,0:00:52,52
Cage 6,Dusky Turban snail,Tegula pulligo,Macrocystis,1:02,0:01:02,62
Cage 6,Dusky Turban snail,Tegula pulligo,Macrocystis,0:47,0:00:47,47
Cage 6,Dusky Turban snail,Tegula pulligo,Macrocystis,Na,#VALUE!,#VALUE!
Cage 6,Dusky Turban snail,Tegula pulligo,Macrocystis,Na,#VALUE!,#VALUE!
Cage 9,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,1:52,0:01:52,112
Cage 9,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,1:42,0:01:42,102
Cage 9,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,1:12,0:01:12,72
Cage 9,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,4:00,0:04:00,240
Cage 9,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,0:26,0:00:26,26
Cage 9,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,1:42,0:01:42,102
Cage 9,Red sea urchin,Mesocentrotus franciscanus,Unfed,1:16,0:01:16,76
Cage 9,Red sea urchin,Mesocentrotus franciscanus,Unfed,0:57,0:00:57,57
Cage 9,Red sea urchin,Mesocentrotus franciscanus,Unfed,2:17,0:02:17,137
Cage 9,Red sea urchin,Mesocentrotus franciscanus,Unfed,2:24,0:02:24,144
Cage 9,Red sea urchin,Mesocentrotus franciscanus,Unfed,1:49,0:01:49,109
Cage 9,Red sea urchin,Mesocentrotus franciscanus,Unfed,2:22,0:02:22,142
Cage 9,Red Turban snail,Pomaulax gibberosus,Unfed,0:53,0:00:53,53
Cage 9,Red Turban snail,Pomaulax gibberosus,Unfed,1:41,0:01:41,101
Cage 9,Red Turban snail,Pomaulax gibberosus,Unfed,0:25,0:00:25,25
Cage 9,Red Turban snail,Pomaulax gibberosus,Unfed,0:42,0:00:42,42
Cage 9,Red Turban snail,Pomaulax gibberosus,Unfed,2:40,0:02:40,160
Cage 9,Red Turban snail,Pomaulax gibberosus,Unfed,1:08,0:01:08,68
Cage 9,Dusky Turban snail,Tegula pulligo,Unfed,0:47,0:00:47,47
Cage 9,Dusky Turban snail,Tegula pulligo,Unfed,0:37,0:00:37,37
Cage 9,Dusky Turban snail,Tegula pulligo,Unfed,0:38,0:00:38,38
Cage 9,Dusky Turban snail,Tegula pulligo,Unfed,1:02,0:01:02,62
Cage 9,Dusky Turban snail,Tegula pulligo,Unfed,Na,,
Cage 9,Dusky Turban snail,Tegula pulligo,Unfed,Na,,
